id,created_at,text
1208928048340492288x,2019-12-23 01:51:22,b'perfect design.. what could possibly go wrong \xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f https://t.co/1nb9jU17jL'
1208927218224771072x,2019-12-23 01:48:04,b'someone is psyched to be back in NYC https://t.co/HKlDxipFR7'
1208557869735366656x,2019-12-22 01:20:24,b'@TheBeardyBoy @PhillyD My concern was that people would think that.  Difficult to explain without it sounding shady.'
1208557489387524097x,2019-12-22 01:18:54,b'@RyanKChristians true'
1208230609576849408x,2019-12-21 03:39:59,b'RT @RealEOC: Return of the Jedi audience reactions from 1983 https://t.co/ObJ3h5KMHC'
1208197919997747200x,2019-12-21 01:30:06,b'@imFotoFinn Shit.  Ok. Let me look into'
1208197616518852609x,2019-12-21 01:28:53,b'@PedroFe86190063 but I\xe2\x80\x99m not advertising anything'
1208064282430066688x,2019-12-20 16:39:04,b'@MoreWillie using your finger as the Y-axis puts the horizon (X-axis) off by another 2 degrees.  i want you to enjo\xe2\x80\xa6 https://t.co/BPtjyZGqzK'
1208061834957225984x,2019-12-20 16:29:20,b'@MoreWillie horizon is off by 1 or 2 degrees.  please reshoot and repost.  thanks'
1208031549599318016x,2019-12-20 14:29:00,b'@SteeltahnGraham agreed'
1208029196871561216x,2019-12-20 14:19:39,b'@Roadbiker81 whats your venmo?'
1208024031045140480x,2019-12-20 13:59:07,b'good thing to remind yourself. especially around the holidays https://t.co/oqqf9eC4Hc'
1208022511956324353x,2019-12-20 13:53:05,b'@ryantaylorbmx So happy for you'
1207833727516037121x,2019-12-20 01:22:55,b'RT @DavidDobrik: New world record science experiment!! https://t.co/qwanUwNSiT'
1207448353098747904x,2019-12-18 23:51:35,b'@SchwartzDavidR so nice to meet you!!!'
1207448061905002497x,2019-12-18 23:50:25,"b'RT @JohnnyJet: #Video: What the Most Expensive Airline Ticket in the World (@EtihadAirways) Gets You, via @Casey https://t.co/3Gi8ugkjYD'"
1207328092848455680x,2019-12-18 15:53:43,"b'10 years, 10 million subscribers. Congratulations to @MKBHD on passing 10,000,000 and building an empire in the pro\xe2\x80\xa6 https://t.co/f7ePsg2LOL'"
1207046220755038215x,2019-12-17 21:13:39,b'great conversation.  thanks for having me Adam \xf0\x9f\x91\x8a https://t.co/WNL0PRRdjS'
1207027398392238081x,2019-12-17 19:58:51,"b""RT @thisisinsider: YouTuber Casey Neistat made a video showing what it's like to fly in the most expensive plane seat in the world, which c\xe2\x80\xa6"""
1207001622389223424x,2019-12-17 18:16:26,b'great things happening at @368 https://t.co/MWVEGOexPT'
1207000003895578624x,2019-12-17 18:10:00,b'RT @AndrewYang: The city of New Orleans recently declared a state of emergency after being hit by a cyber attack. Cybersecurity isn\xe2\x80\x99t somet\xe2\x80\xa6'
1206989288522436609x,2019-12-17 17:27:25,"b""RT @travelmail: 'Ridiculous luxury': YouTube star films his flight in Etihad's \xc2\xa352,000 A380 'Residence' suite, which has a living room, bed\xe2\x80\xa6"""
1206988627290382336x,2019-12-17 17:24:48,b'RT @ncaprio: This is fantastic! https://t.co/QzFXmmolhx'
1206803458994556929x,2019-12-17 05:09:00,b'RT @BenjiManTV: GOAT.... for reals bro. You are!!!! @Casey @EtihadAirways \xf0\x9f\x9b\xab\xe2\x98\x81\xef\xb8\x8f\xf0\x9f\x92\xba\xf0\x9f\xa5\x82\xf0\x9f\x8d\xbd\xf0\x9f\x92\xaf https://t.co/2oB6WZ0cwP via @YouTube'
1206780835786964992x,2019-12-17 03:39:06,b'RT @TobyHendy: Could You Survive Jumanji is out now on Vsauce3! Still pinching myself that I got to work with @jakerawr @Casey @phil_torres\xe2\x80\xa6'
1206779846874894336x,2019-12-17 03:35:11,b'kids https://t.co/eZovdg4xVJ'
1206769247528972288x,2019-12-17 02:53:03,b'SIX YEARS!  assuming we don\xe2\x80\x99t get divorced in the next 2 weeks we\xe2\x80\x99ll have been married 6 years!  nice work\xe2\x80\xa6 https://t.co/wTrQ28Qf6o'
1206766834147422208x,2019-12-17 02:43:28,b'@OGBTC @Barnacules @BitsBeTrippin @samsheffer @CollinCornwell Congrats.   No easy job.'
1206729591156424704x,2019-12-17 00:15:29,b'@LVormer @FlixhX true'
1206729083847004160x,2019-12-17 00:13:28,b'@jjpayelle all true.  he is a pioneer'
1206727888487079936x,2019-12-17 00:08:43,b'RT @SpaceX: Webcast of Falcon 9 launch now live  https://t.co/KMQtL0sGDd'
1206712097691668480x,2019-12-16 23:05:58,"b'RT @DexertoTrending: In his latest YouTube video, @Casey reviews the most expensive first class airplane ticket, and it looks INCREDIBLE \xf0\x9f\x98\x8d\xe2\x80\xa6'"
1206711963864068096x,2019-12-16 23:05:26,b'@NSCalderone @EtihadAirways @RightThisMinute sure'
